neid	neID	hit	queries	gene	product	genome	contig	locus_tag	start_ext	end_ext	length_ext	starto_ext	endo_ext	lengtho_ext	strands	archMEM	archPF	archIPR	archMEM_ext	archPF_ext	archIPR_ext	length	pfams	tax_id	superkingdom	phylum	class	order	family	genus	species	curated	ARCH	LARCH	char
1	WP_033734506.1:GCF_000003925.1:1	WP_033734506.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_000003925.1	NZ_CM000742.1	BMYCO0001_RS31290	5287476	5279506	7971	5150	5144	7	-+++---	PF14449	PF14449	IPR027797	PF08341|G3DSA:1.10.150.480|TIGR03934|PTHR36108|PF17802|G3DSA:2.60.40.10|SSF49478|PF07282|PF14449|PTHR35528|PF13610|PR00301|PR00301|SSF100920|G3DSA:2.60.34.10|PR00301|PS01036|PR00301|G3DSA:3.90.640.10|PR00301|PS00329|SSF53067|G3DSA:3.30.420.40|PR00301|PF00012|PR00301|PR00301|PS00297|PTHR19375|cd10235|G3DSA:3.30.420.40|G3DSA:3.30.420.40:FF:000144|PF00012|PR00301|SSF53067|PF07719|PS50005|SM00028|PS50005|SM00028|PF13432|SSF48452|G3DSA:1.25.40.10|Coil|PTHR44858|PS50076|SSF46565|G3DSA:1.10.287.110	PF08341|PF17802|PF07282|PF14449|PF13610|PF00012|PF00012|PF07719|PF13432	IPR013552|IPR023849|IPR013783|IPR041033|IPR010095|IPR027797|IPR052183|IPR032874|IPR029047|IPR018181|IPR042030|IPR013126|IPR043129|IPR013105|IPR019734|IPR011990|IPR050498|IPR001623|IPR036869	136	PF00012|PF01385|PF01476|PF01580|PF06013|PF06889|PF07282|PF07486|PF07719|PF08341|PF08817|PF10140|PF10661|PF12323|PF12538|PF13130|PF13432|PF13610|PF14449|PF16887|PF17802	526997	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides	1	IPR013552|IPR023849|IPR013783|IPR041033|IPR010095|IPR027797|IPR052183|IPR032874|IPR029047|IPR018181|IPR042030|IPR013126|IPR043129|IPR013105|IPR019734|IPR011990|IPR050498|IPR001623|IPR036869	19	㔑嵊㗸ꁪ➐沶쯸肋熘䜦ꑏ㍧ꢚ㍒䴷⻷앣ٸ逦
1	WP_012958863.1:GCF_000005825.2:1	WP_012958863.1	PF14449.11	NA	T7SS effector LXG polymorphic toxin	GCF_000005825.2	NC_013791.2	BPOF4_RS21650	1841515	1836112	5404	1818	1812	7	+++----	PS51756|PF04740|Coil|Coil|PF14449|PF15657	PF04740|PF14449|PF15657	IPR006829|IPR027797|IPR028048	SSF103481|PF00892|SSF103481|PTHR22911|PF00892|Coil|PF00293|PTHR43046|SSF55811|cd04690|PS51462|G3DSA:3.90.79.10|SSF52402|G3DSA:3.40.50.620|PS51756|PF04740|Coil|Coil|PF14449|PF15657|G3DSA:3.40.1580.10|SM00860|SSF160631|PF14568|SSF160631|NF038335|G3DSA:3.40.1580.10	PF00892|PF00892|PF00293|PF04740|PF14449|PF15657|PF14568	IPR000620|IPR015797|IPR000086|IPR014729|IPR006829|IPR027797|IPR028048|IPR037883|IPR018958|IPR037883	500	PF00196|PF00293|PF00892|PF01078|PF01381|PF01425|PF01522|PF01740|PF01797|PF01934|PF03050|PF04740|PF05598|PF05717|PF06338|PF07508|PF13005|PF13007|PF13335|PF13408|PF13419|PF13426|PF13560|PF13751|PF13817|PF13930|PF14024|PF14253|PF14449|PF14567|PF14568|PF15657|PF18765|PF22014|PF24734|PF24735|PF24828	398511	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalophilus	Alkalihalophilus pseudofirmus	19	IPR000620|IPR015797|IPR000086|IPR014729|IPR006829|IPR027797|IPR028048|IPR037883|IPR018958|IPR037883	10	ʍ㷖w㦪ᫎ沶涱鐜䨯鐜
2	WP_012960621.1:GCF_000005825.2:2	WP_012960621.1	PF14449.11	NA	T7SS effector LXG polymorphic toxin	GCF_000005825.2	NC_013791.2	BPOF4_RS21755	3564506	3559606	4901	3527	3521	7	-------	PS51756|PF04740|Coil|Coil|PF14449|mobidb-lite|G3DSA:3.40.570.10|PF13930|mobidb-lite|mobidb-lite	PF04740|PF14449|PF13930	IPR006829|IPR027797|IPR044929|IPR044927	SSF143422|G3DSA:3.30.70.1290|PTHR34322|SM01321|PF01797|PF22014|Coil|SSF47413|G3DSA:1.10.260.40|cd00093|PS50943|PF01381|PS51756|PF04740|Coil|Coil|PF14449|mobidb-lite|G3DSA:3.40.570.10|PF13930|mobidb-lite|mobidb-lite|PS51737|G3DSA:3.90.1750.20|PF07508|PTHR30461|PF13408|Coil|G3DSA:3.40.1350.10	PF01797|PF22014|PF01381|PF04740|PF14449|PF13930|PF07508|PF13408	IPR036515|IPR002686|IPR053860|IPR010982|IPR001387|IPR006829|IPR027797|IPR044929|IPR044927|IPR011109|IPR038109|IPR050639|IPR025827|IPR011856	531	PF00196|PF00293|PF00892|PF01078|PF01381|PF01425|PF01522|PF01740|PF01797|PF01934|PF03050|PF04740|PF05598|PF05717|PF06338|PF07508|PF13005|PF13007|PF13335|PF13408|PF13419|PF13426|PF13560|PF13751|PF13817|PF13930|PF14024|PF14253|PF14449|PF14567|PF14568|PF15657|PF18765|PF22014|PF24734|PF24735|PF24828	398511	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalihalophilus	Alkalihalophilus pseudofirmus	19	IPR036515|IPR002686|IPR053860|IPR010982|IPR001387|IPR006829|IPR027797|IPR044929|IPR044927|IPR011109|IPR038109|IPR050639|IPR025827|IPR011856	14	軄ટ튅⬇֌ᫎ沶꾢꾠⮆链연攄⹱
1	WP_000404139.1:GCF_000007845.1:1	WP_000404139.1	PF14449.11	NA	WXG100 family type VII secretion target	GCF_000007845.1	NC_003997.3	BA_RS10590	2058129	2046965	11165	1911	1905	7	+++++++	SSF140453|G3DSA:1.10.287.850|PF06013|TIGR03930|Coil|Coil|PF14449|G3DSA:1.10.287.700|PF14424	PF06013|PF14449|PF14424	IPR036689|IPR010310|IPR027797|IPR032721	Coil|G3DSA:3.40.50.1390|PS51736|SSF53041|PTHR30461|PF00239|SM00857|PS00397|cd00338|G3DSA:3.90.1750.20|PS51737|PF07508|PF14425|SSF140453|G3DSA:1.10.287.850|PF06013|TIGR03930|Coil|Coil|PF14449|G3DSA:1.10.287.700|PF14424|PF07179|G3DSA:1.10.287.850|PF06013|TIGR03930|SSF158414|Coil|TIGR03928|Coil|G3DSA:3.40.50.300|SSF52540|PS50901|PF01580|SM00382|cd01127|G3DSA:3.40.50.300|PF01580|SSF52540|PS50901|SM00382|PTHR22683|Coil|G3DSA:3.40.50.300|PS50901|PF01580|SM00382	PF00239|PF07508|PF14425|PF06013|PF14449|PF14424|PF07179|PF06013|PF01580|PF01580|PF01580	IPR036162|IPR006119|IPR050639|IPR006118|IPR038109|IPR011109|IPR025678|IPR036689|IPR010310|IPR027797|IPR032721|IPR009839|IPR010310|IPR029013|IPR023839|IPR027417|IPR002543|IPR003593|IPR050206	471	PF00072|PF00133|PF00152|PF00239|PF00486|PF00512|PF00672|PF00939|PF01336|PF01580|PF02128|PF02518|PF02595|PF03413|PF06013|PF07179|PF07504|PF07508|PF08264|PF13519|PF13672|PF13847|PF14424|PF14425|PF14436|PF14449|PF18719|PF19302	198094	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	31	IPR036162|IPR006119|IPR050639|IPR006118|IPR038109|IPR011109|IPR025678|IPR036689|IPR010310|IPR027797|IPR032721|IPR009839|IPR010310|IPR029013|IPR023839|IPR027417|IPR002543|IPR003593|IPR050206	19	赣᠈연᠇链⮆摯轲⡧沶翲⚐⡧煶嵀欺ਐส쐿
1	WP_003179977.1:GCF_000008425.1:1	WP_003179977.1	PF14449.11	NA	T7SS effector LXG polymorphic toxin	GCF_000008425.1	NC_006322.1	BLI_RS04605	935147	928849	6299	848	842	7	--+--++	PS51756|PF04740|Coil|Coil|PF14449|PF15542	PF04740|PF14449|PF15542	IPR006829|IPR027797|IPR029100	PS51756|PF04740|Coil|Coil|PF14449|PF15540|PF20541|PS51756|PF04740|Coil|Coil|PF14449|PF15542	PF04740|PF14449|PF15540|PF20541|PF04740|PF14449|PF15542	IPR006829|IPR027797|IPR029103|IPR046644|IPR006829|IPR027797|IPR029100	574	PF00005|PF00013|PF00107|PF00140|PF00155|PF00202|PF00270|PF00271|PF00296|PF00488|PF00528|PF00571|PF00578|PF00583|PF00665|PF00919|PF00999|PF01119|PF01244|PF01261|PF01381|PF01464|PF01471|PF01475|PF01487|PF01510|PF01624|PF01726|PF01784|PF01807|PF01832|PF01906|PF01938|PF01964|PF01966|PF02080|PF02091|PF02092|PF02401|PF02492|PF02565|PF02639|PF02824|PF03618|PF03979|PF03992|PF04055|PF04232|PF04235|PF04539|PF04542|PF04545|PF04688|PF04740|PF04816|PF05188|PF05190|PF05192|PF05709|PF05746|PF06081|PF06133|PF06605|PF06912|PF07683|PF07690|PF08240|PF08275|PF08279|PF08676|PF09084|PF09680|PF09693|PF10145|PF10410|PF10628|PF10651|PF10779|PF11023|PF11967|PF12072|PF12728|PF12911|PF13155|PF13229|PF13273|PF13276|PF13277|PF13333|PF13424|PF13442|PF13589|PF13667|PF14006|PF14181|PF14434|PF14449|PF14540|PF15540|PF15542|PF15657|PF16888|PF17279|PF18576|PF18801|PF18994|PF19300|PF19486|PF20541|PF22339|PF23857	279010	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	19	IPR006829|IPR027797|IPR029103|IPR046644|IPR006829|IPR027797|IPR029100	7	ᫎ沶燐뙕ᫎ沶燍
2	WP_011197679.1:GCF_000008425.1:2	WP_011197679.1	PF14449.11	NA	T7SS effector LXG polymorphic toxin	GCF_000008425.1	NC_006322.1	BLI_RS04620	940515	933897	6619	851	845	7	+++--+-	PS51756|PF04740|Coil|Coil|PF14449|PF15540	PF04740|PF14449|PF15540	IPR006829|IPR027797|IPR029103	PF04235|PTHR30590|cd01667|PF02824|SSF81271|G3DSA:3.10.20.30|PS51880|SM00028|PS50005|SM00028|PF13424|SM00028|SSF48452|PTHR46630|SM00028|Coil|PF18801|G3DSA:1.25.40.10|PS51756|PF04740|Coil|Coil|PF14449|PF15540|PF20541|PS51756|PF04740|Coil|Coil|PF14449|PF15542	PF04235|PF02824|PF13424|PF18801|PF04740|PF14449|PF15540|PF20541|PF04740|PF14449|PF15542	IPR007349|IPR052529|IPR012676|IPR012675|IPR004095|IPR051476|IPR019734|IPR011990|IPR006829|IPR027797|IPR029103|IPR046644|IPR006829|IPR027797|IPR029100	519	PF00005|PF00013|PF00107|PF00140|PF00155|PF00202|PF00270|PF00271|PF00296|PF00488|PF00528|PF00571|PF00578|PF00583|PF00665|PF00919|PF00999|PF01119|PF01244|PF01261|PF01381|PF01464|PF01471|PF01475|PF01487|PF01510|PF01624|PF01726|PF01784|PF01807|PF01832|PF01906|PF01938|PF01964|PF01966|PF02080|PF02091|PF02092|PF02401|PF02492|PF02565|PF02639|PF02824|PF03618|PF03979|PF03992|PF04055|PF04232|PF04235|PF04539|PF04542|PF04545|PF04688|PF04740|PF04816|PF05188|PF05190|PF05192|PF05709|PF05746|PF06081|PF06133|PF06605|PF06912|PF07683|PF07690|PF08240|PF08275|PF08279|PF08676|PF09084|PF09680|PF09693|PF10145|PF10410|PF10628|PF10651|PF10779|PF11023|PF11967|PF12072|PF12728|PF12911|PF13155|PF13229|PF13273|PF13276|PF13277|PF13333|PF13424|PF13442|PF13589|PF13667|PF14006|PF14181|PF14434|PF14449|PF14540|PF15540|PF15542|PF15657|PF16888|PF17279|PF18576|PF18801|PF18994|PF19300|PF19486|PF20541|PF22339|PF23857	279010	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	19	IPR007349|IPR052529|IPR012676|IPR012675|IPR004095|IPR051476|IPR019734|IPR011990|IPR006829|IPR027797|IPR029103|IPR046644|IPR006829|IPR027797|IPR029100	15	᳖쵒ㆥㆤဠ줵䴷⻷ᫎ沶燐뙕ᫎ沶燍
3	WP_003181977.1:GCF_000008425.1:3	WP_003181977.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_000008425.1	NC_006322.1	BLI_RS09550	1895321	1890827	4495	1848	1842	7	-++++++	PF14449	PF14449	IPR027797	SM00833|SSF90002|PF07683|G3DSA:3.30.1220.10|cd03112|PF02492|SSF52540|PTHR13748|G3DSA:3.40.50.300|mobidb-lite|mobidb-lite|PF15657|PF14449|SSF54909|G3DSA:3.30.70.100|PS51725|PTHR33336|PF03992|G3DSA:3.30.565.10:FF:000003|G3DSA:3.30.565.10|NF000950|SSF55874|MF_00149|TIGR00585|cd16926|PF13589|PS00058|SSF54211|cd00782|SM01340|PF01119|G3DSA:3.30.230.10:FF:000036|G3DSA:3.30.230.10|mobidb-lite|mobidb-lite|PTHR10073|SSF118116|SM00853|PF08676|G3DSA:3.30.1540.20|G3DSA:3.30.1370.100:FF:000004|G3DSA:3.30.1370.100|G3DSA:3.40.1170.10|G3DSA:3.40.1170.10:FF:000001|PIRSF037677|SSF55271|MF_00096|TIGR01070|PF01624|NF003810|PTHR11361|SSF53150|G3DSA:3.30.420.110|PF05188|PIRSF037677|G3DSA:1.10.1420.10|SSF48334|PF05192|SM00533|G3DSA:1.10.1420.10:FF:000007|G3DSA:1.10.1420.10|PF05190|SSF52540|G3DSA:3.40.50.300|G3DSA:3.40.50.300:FF:000896|cd03284|SM00534|PF00488|PS00486|Coil	PF07683|PF02492|PF15657|PF14449|PF03992|PF13589|PF01119|PF08676|PF01624|PF05188|PF05192|PF05190|PF00488	IPR011629|IPR036627|IPR003495|IPR051316|IPR027417|IPR028048|IPR027797|IPR011008|IPR007138|IPR050744|IPR036890|IPR020667|IPR002099|IPR014762|IPR020568|IPR013507|IPR014721|IPR038973|IPR037198|IPR014790|IPR042120|IPR042121|IPR016151|IPR017261|IPR005748|IPR007695|IPR045076|IPR036678|IPR007860|IPR036187|IPR007696|IPR007861|IPR027417|IPR000432	175	PF00005|PF00013|PF00107|PF00140|PF00155|PF00202|PF00270|PF00271|PF00296|PF00488|PF00528|PF00571|PF00578|PF00583|PF00665|PF00919|PF00999|PF01119|PF01244|PF01261|PF01381|PF01464|PF01471|PF01475|PF01487|PF01510|PF01624|PF01726|PF01784|PF01807|PF01832|PF01906|PF01938|PF01964|PF01966|PF02080|PF02091|PF02092|PF02401|PF02492|PF02565|PF02639|PF02824|PF03618|PF03979|PF03992|PF04055|PF04232|PF04235|PF04539|PF04542|PF04545|PF04688|PF04740|PF04816|PF05188|PF05190|PF05192|PF05709|PF05746|PF06081|PF06133|PF06605|PF06912|PF07683|PF07690|PF08240|PF08275|PF08279|PF08676|PF09084|PF09680|PF09693|PF10145|PF10410|PF10628|PF10651|PF10779|PF11023|PF11967|PF12072|PF12728|PF12911|PF13155|PF13229|PF13273|PF13276|PF13277|PF13333|PF13424|PF13442|PF13589|PF13667|PF14006|PF14181|PF14434|PF14449|PF14540|PF15540|PF15542|PF15657|PF16888|PF17279|PF18576|PF18801|PF18994|PF19300|PF19486|PF20541|PF22339|PF23857	279010	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	1	IPR011629|IPR036627|IPR003495|IPR051316|IPR027417|IPR028048|IPR027797|IPR011008|IPR007138|IPR050744|IPR036890|IPR020667|IPR002099|IPR014762|IPR020568|IPR013507|IPR014721|IPR038973|IPR037198|IPR014790|IPR042120|IPR042121|IPR016151|IPR017261|IPR005748|IPR007695|IPR045076|IPR036678|IPR007860|IPR036187|IPR007696|IPR007861|IPR027417|IPR000432	34	ⶎ輴෈좕欺涱沶⬡ᰃ왙逻僜ࡔ㧋偹㓤㦢類酯㧧꒩꒪㼸䎎ᚕḰ뀵轧ổ赼ḱỖ欺Ǒ
4	WP_003183602.1:GCF_000008425.1:4	WP_003183602.1	PF14449.11	NA	ribonuclease YeeF family protein	GCF_000008425.1	NC_006322.1	BLI_RS13405	2606580	2602066	4515	2606	2600	7	-------	PS51756|PTHR34976|PF04740|Coil|Coil|PF14449|mobidb-lite	PF04740|PF14449	IPR006829|IPR051768|IPR027797	NF045773|PIRSF000025|SSF46626|PTHR37823|PS51007|PF13442|G3DSA:1.10.760.10|PF16888|Coil|Coil|PF17279|Coil|PS51756|PTHR34976|PF04740|Coil|Coil|PF14449|mobidb-lite|PF14434|PF14434	PF13442|PF16888|PF17279|PF04740|PF14449|PF14434|PF14434	IPR012218|IPR054780|IPR036909|IPR051811|IPR009056|IPR031681|IPR046318|IPR006829|IPR051768|IPR027797|IPR025674|IPR025674	669	PF00005|PF00013|PF00107|PF00140|PF00155|PF00202|PF00270|PF00271|PF00296|PF00488|PF00528|PF00571|PF00578|PF00583|PF00665|PF00919|PF00999|PF01119|PF01244|PF01261|PF01381|PF01464|PF01471|PF01475|PF01487|PF01510|PF01624|PF01726|PF01784|PF01807|PF01832|PF01906|PF01938|PF01964|PF01966|PF02080|PF02091|PF02092|PF02401|PF02492|PF02565|PF02639|PF02824|PF03618|PF03979|PF03992|PF04055|PF04232|PF04235|PF04539|PF04542|PF04545|PF04688|PF04740|PF04816|PF05188|PF05190|PF05192|PF05709|PF05746|PF06081|PF06133|PF06605|PF06912|PF07683|PF07690|PF08240|PF08275|PF08279|PF08676|PF09084|PF09680|PF09693|PF10145|PF10410|PF10628|PF10651|PF10779|PF11023|PF11967|PF12072|PF12728|PF12911|PF13155|PF13229|PF13273|PF13276|PF13277|PF13333|PF13424|PF13442|PF13589|PF13667|PF14006|PF14181|PF14434|PF14449|PF14540|PF15540|PF15542|PF15657|PF16888|PF17279|PF18576|PF18801|PF18994|PF19300|PF19486|PF20541|PF22339|PF23857	279010	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	19	IPR012218|IPR054780|IPR036909|IPR051811|IPR009056|IPR031681|IPR046318|IPR006829|IPR051768|IPR027797|IPR025674	12	⿛혝過쪄⎁篢딏ᫎ쩙沶摫
5	WP_011198299.1:GCF_000008425.1:5	WP_011198299.1	PF14449.11	NA	T7SS effector LXG polymorphic toxin	GCF_000008425.1	NC_006322.1	BLI_RS17675	3433222	3428353	4870	3428	3422	7	--++---	PS51756|PF04740|Coil|Coil|PF14449|PF15542	PF04740|PF14449|PF15542	IPR006829|IPR027797|IPR029100	TIGR01592|PF04688|PF01471|SSF47090|G3DSA:1.10.101.10|PF01471|SSF47090|G3DSA:1.10.101.10|mobidb-lite|mobidb-lite|cd06583|PF01510|SM00644|PTHR30417|G3DSA:3.40.80.10|SSF55846|PS51756|PF04740|Coil|Coil|PF14449|PF15542|PF12728	PF04688|PF01471|PF01471|PF01510|PF04740|PF14449|PF15542|PF12728	IPR006479|IPR002477|IPR036365|IPR036366|IPR002502|IPR051206|IPR036505|IPR006829|IPR027797|IPR029100|IPR041657	509	PF00005|PF00013|PF00107|PF00140|PF00155|PF00202|PF00270|PF00271|PF00296|PF00488|PF00528|PF00571|PF00578|PF00583|PF00665|PF00919|PF00999|PF01119|PF01244|PF01261|PF01381|PF01464|PF01471|PF01475|PF01487|PF01510|PF01624|PF01726|PF01784|PF01807|PF01832|PF01906|PF01938|PF01964|PF01966|PF02080|PF02091|PF02092|PF02401|PF02492|PF02565|PF02639|PF02824|PF03618|PF03979|PF03992|PF04055|PF04232|PF04235|PF04539|PF04542|PF04545|PF04688|PF04740|PF04816|PF05188|PF05190|PF05192|PF05709|PF05746|PF06081|PF06133|PF06605|PF06912|PF07683|PF07690|PF08240|PF08275|PF08279|PF08676|PF09084|PF09680|PF09693|PF10145|PF10410|PF10628|PF10651|PF10779|PF11023|PF11967|PF12072|PF12728|PF12911|PF13155|PF13229|PF13273|PF13276|PF13277|PF13333|PF13424|PF13442|PF13589|PF13667|PF14006|PF14181|PF14434|PF14449|PF14540|PF15540|PF15542|PF15657|PF16888|PF17279|PF18576|PF18801|PF18994|PF19300|PF19486|PF20541|PF22339|PF23857	279010	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	19	IPR006479|IPR002477|IPR036365|IPR036366|IPR002502|IPR051206|IPR036505|IPR006829|IPR027797|IPR029100|IPR041657	11	ᥰৎ踮踯১젧躺ᫎ沶燍ꋚ
1	NP_390463.1:GCF_000009045.1:1	NP_390463.1	PF14449.11	rttG	phage ribonuclease toxin%3B skin element	GCF_000009045.1	NC_000964.3	BSU_25860	2663551	2660340	3212	2675	2669	7	-++++++	PS51756|PTHR34976|PF04740|Coil|Coil|PF14449|mobidb-lite|mobidb-lite|PF14410|mobidb-lite|mobidb-lite|mobidb-lite	PF04740|PF14449|PF14410	IPR006829|IPR051768|IPR027797|IPR026835	G3DSA:1.10.3750.10|Coil|PF05076|PS51756|PTHR34976|PF04740|Coil|Coil|PF14449|mobidb-lite|mobidb-lite|PF14410|mobidb-lite|mobidb-lite|mobidb-lite|G3DSA:1.25.40.10|PF18801|Coil|SSF48452|SM00028|PTHR46630|SM00028|SSF48452|Coil|PS50005|SM00028|PF13424|PS50005|SM00028	PF05076|PF04740|PF14449|PF14410|PF18801|PF13424	IPR035945|IPR020941|IPR006829|IPR051768|IPR027797|IPR026835|IPR011990|IPR019734|IPR051476	531	PF00126|PF00176|PF00221|PF00232|PF00239|PF00271|PF00324|PF00358|PF00367|PF00393|PF00491|PF00582|PF00591|PF00892|PF00903|PF00984|PF01019|PF01022|PF01037|PF01175|PF01451|PF01471|PF01510|PF01613|PF01758|PF01773|PF01979|PF02018|PF02378|PF02417|PF02706|PF02885|PF03358|PF03446|PF03466|PF03720|PF03721|PF04434|PF04493|PF04616|PF04740|PF05076|PF05105|PF05593|PF07508|PF07661|PF07662|PF07670|PF07831|PF08282|PF08892|PF09021|PF09234|PF09636|PF09693|PF10076|PF12419|PF13408|PF13412|PF13424|PF13614|PF13789|PF13807|PF14040|PF14410|PF14431|PF14449|PF14568|PF16369|PF16888|PF17279|PF17391|PF17392|PF18593|PF18801|PF19567|PF20148|PF23493|PF23494|PF24517|PF24711|PF24715|PF24716	224308	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	19	IPR035945|IPR020941|IPR006829|IPR051768|IPR027797|IPR026835|IPR011990|IPR019734|IPR051476	9	貊凮ᫎ쩙沶棴⻷䴷줵
